record_id,trip_start_date,trip_days,distance_km,transport_mode,tuk_engine_type,fuel_type,bus_type,occupancy,congestion_factor,terrain_factor,hotel_class,nightly_kwh_est,season,grid_ef_kgCO2_per_kWh,diesel_gen_l_per_night,water_heating,safari_engine_hours,festival_event,pilgrimage_support_km,pilgrimage_support_liters,meal_plan,food_emissions_kgCO2,rice_kg_per_day,rice_emissions_kgCO2,waste_kg_per_day,waste_method,waste_emissions_kgCO2,plastic_bottles_per_day,plastic_emissions_kgCO2,transport_emissions_kgCO2,accommodation_elec_kgCO2,accommodation_gen_kgCO2,festival_gen_emissions_kgCO2,pilgrimage_emissions_kgCO2,total_trip_emissions_kgCO2
2078,2025-04-24,5,128.7,Public Bus,,Petrol,Public,23,0.8,1.0,4-star,45.72,wet,0.07,7.25,Diesel Boiler,0.0,None,0,0.0,Import-Heavy,34.02,1.0,7.55,1.216,Open Landfill,3.041,0,0.0,0.09,16.004,117.25,0.0,0.0,177.954
2079,2025-01-24,6,69.7,Train,,Electric,,108,0.8,1.35,Budget Hotel,11.05,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,23.724,0.6,5.436,0.702,Composting,0.211,1,0.3,0.015,69.118,0.0,0.0,0.0,98.804
2080,2025-05-01,9,54.4,Hybrid Car,,Petrol,,1,1.0,1.0,4-star,50.6,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,1.135,Open Landfill,5.109,2,0.9,2.856,395.558,0.0,0.0,0.0,437.902
2081,2025-02-24,11,150.0,Public Bus,,Petrol,Public,19,0.8,1.0,3-star,22.22,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,43.494,1.0,16.61,1.253,Incineration,2.757,2,1.1,0.126,19.421,0.0,0.0,0.0,83.509
2082,2025-05-11,6,58.4,Hybrid Car,,Diesel,,1,1.23,1.0,4-star,45.12,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Import-Heavy,40.824,1.5,13.59,0.819,Incineration,0.983,0,0.0,3.544,222.012,24.12,0.0,0.0,305.073
2083,2025-10-05,4,124.8,Train,,Electric,,73,0.8,1.0,Eco-lodge,7.63,dry,0.82,12.15,Electric Boiler,0.0,None,0,0.0,Local,11.256,1.0,6.04,0.302,Open Landfill,0.604,0,0.0,0.041,34.878,130.248,0.0,0.0,183.066
2084,2025-05-05,8,71.8,Hybrid Car,,Diesel,,1,0.8,1.0,Guesthouse,5.68,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,22.512,0.6,7.248,0.499,Open Landfill,1.994,1,0.4,2.691,4.858,0.0,0.0,0.0,39.704
2085,2025-10-03,3,17.1,Tuk-Tuk,4-stroke,Electric,,2,1.0,1.15,5-star,116.15,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,20.412,0.6,2.718,0.973,Composting,0.146,2,0.3,0.513,293.118,0.0,0.0,0.0,317.207
2086,2025-06-18,7,176.7,Hybrid Car,,Diesel,,4,1.41,1.35,Guesthouse,6.62,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,0.6,6.342,0.565,Incineration,0.79,1,0.35,3.576,55.226,0.0,0.0,0.0,85.982
2087,2025-03-11,7,87.2,Public Bus,,Petrol,Public,36,0.8,1.0,3-star,19.57,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,19.698,0.6,6.342,0.627,Open Landfill,2.195,2,0.7,0.039,9.59,0.0,0.0,0.0,38.564
2088,2025-11-12,7,37.4,Private Car,,LPG,,2,1.19,1.0,Eco-lodge,7.5,dry,0.82,0.7,Solar Thermal,0.0,None,0,0.0,Local,19.698,1.0,10.57,1.107,Open Landfill,3.876,2,0.7,3.583,43.031,13.132,0.0,0.0,94.59
2089,2025-01-08,6,1.0,Electric Car,,Electric,,2,0.91,1.15,4-star,51.87,dry,0.82,1.75,Electric Boiler,0.0,None,0,0.0,Import-Heavy,40.824,0.6,5.436,1.042,Open Landfill,3.127,2,0.6,1.111,269.983,28.14,0.0,0.0,349.222
2090,2025-05-06,1,2.6,Tuk-Tuk,2-stroke,Diesel,,1,1.44,1.0,Guesthouse,5.62,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,3.954,0.0,0.0,1.219,Composting,0.061,0,0.0,0.449,7.068,0.0,0.0,0.0,11.532
2091,2025-08-07,7,57.6,Train,,Electric,,116,1.13,1.0,Budget Hotel,9.13,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,27.678,0.3,3.171,0.851,Composting,0.298,1,0.35,0.017,69.636,0.0,0.0,0.0,101.15
2092,2025-02-03,5,195.5,Public Bus,,Diesel,Public,36,0.8,1.0,Eco-lodge,8.79,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,2.762,Composting,0.69,2,0.5,0.087,4.127,0.0,0.0,0.0,24.005
2093,2025-04-02,7,44.9,Train,,Electric,,79,0.9,1.15,Guesthouse,5.48,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,0.6,6.342,2.004,Open Landfill,7.012,0,0.0,0.015,4.154,0.0,0.0,0.0,37.221
2094,2025-03-31,4,166.8,Hybrid Car,,Petrol,,2,0.9,1.0,5-star,106.89,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,11.256,1.0,6.04,0.595,Composting,0.119,1,0.2,3.008,30.769,0.0,0.0,0.0,51.392
2095,2025-10-03,7,72.2,Tuk-Tuk,2-stroke,LPG,,1,0.97,1.0,4-star,46.46,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Import-Heavy,47.628,0.6,6.342,2.27,Open Landfill,7.947,1,0.35,8.404,22.765,28.14,0.0,0.0,121.576
2096,2025-06-06,4,9.1,Hybrid Car,,Diesel,,1,1.34,1.0,Guesthouse,5.06,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Mixed,15.816,1.0,6.04,1.419,Composting,0.284,1,0.2,0.596,16.589,0.0,0.0,0.0,39.526
2097,2025-11-06,6,51.6,Private Car,,LPG,,1,0.96,1.35,Budget Hotel,9.21,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Local,16.884,0.6,5.436,0.668,Sanitary Landfill,2.003,0,0.0,8.395,45.316,0.0,0.0,0.0,78.035
2098,2025-07-05,3,3.1,Private Car,,LPG,,1,0.8,1.0,3-star,20.24,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,8.442,1.0,4.53,1.454,Sanitary Landfill,2.181,1,0.15,0.472,4.879,0.0,0.0,0.0,20.654
2099,2025-01-12,5,28.6,Train,,Electric,,42,0.87,1.0,Budget Hotel,9.99,dry,0.82,2.21,Diesel Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,14.07,0.6,4.53,1.001,Open Landfill,2.502,2,0.5,0.018,40.946,49.714,325.542,0.0,437.821
2100,2025-09-03,8,26.9,Public Bus,,Diesel,Public,20,1.36,1.35,Eco-lodge,7.45,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Mixed,31.632,0.6,7.248,0.71,Incineration,1.136,1,0.4,0.037,48.858,32.16,0.0,0.0,121.471
2101,2025-08-29,7,1.0,Train,,Electric,,21,1.26,1.0,Budget Hotel,9.67,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Local,19.698,0.6,6.342,1.797,Open Landfill,6.289,2,0.7,0.002,4.737,28.14,0.0,0.0,65.908
2102,2025-08-22,8,170.8,Hybrid Car,,Petrol,,1,0.8,1.35,Guesthouse,6.01,wet,0.07,0.51,Solar Thermal,0.0,None,0,0.0,Local,22.512,0.6,7.248,1.525,Sanitary Landfill,6.1,1,0.4,5.779,3.364,10.934,0.0,0.0,56.337
2103,2025-08-22,7,92.7,Private Car,,Diesel,,4,1.33,1.0,5-star,98.17,dry,0.82,0.0,Electric Boiler,0.0,Pilgrimage (Pada Yatra),60,69.88,Local,19.698,0.6,6.342,0.914,Composting,0.32,3,1.05,5.876,580.735,0.0,0.0,187.278,801.3
2104,2025-02-12,3,38.8,Tuk-Tuk,2-stroke,Electric,,2,1.34,1.0,Eco-lodge,7.23,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,8.442,0.6,2.718,0.2,Open Landfill,0.3,4,0.6,3.12,2.148,0.0,0.0,0.0,17.327
2105,2025-06-23,1,93.3,Tuk-Tuk,2-stroke,Diesel,,2,0.8,1.0,Eco-lodge,9.61,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,2.814,0.6,0.906,1.144,Open Landfill,0.572,2,0.1,4.478,10.34,0.0,0.0,0.0,19.211
2106,2025-07-08,5,29.9,Tuk-Tuk,4-stroke,Petrol,,2,1.06,1.0,Budget Hotel,10.8,dry,0.82,12.58,Diesel Boiler,0.0,None,0,0.0,Local,14.07,1.0,7.55,0.995,Incineration,0.995,2,0.5,0.951,44.292,188.672,0.0,0.0,257.029
2107,2025-10-23,6,1.0,Public Bus,,Electric,Public,43,1.03,1.15,Budget Hotel,8.9,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,1.497,Open Landfill,4.49,0,0.0,0.0,58.565,0.0,0.0,0.0,85.376
2108,2025-10-02,3,257.4,Tourist Coach,,LPG,Private,20,0.8,1.35,Budget Hotel,9.21,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,8.442,0.6,2.718,1.959,Open Landfill,2.939,1,0.15,0.721,2.564,0.0,0.0,0.0,17.534
2109,2025-09-09,4,91.4,Public Bus,,Diesel,Public,38,0.83,1.0,Guesthouse,5.96,dry,0.82,0.0,Electric Boiler,0.0,Pilgrimage (Pada Yatra),92,67.31,Mixed,15.816,0.6,3.624,1.403,Incineration,1.122,1,0.2,0.04,29.387,0.0,0.0,180.391,230.58
2110,2025-05-06,7,44.7,Hybrid Car,,LPG,,2,0.97,1.0,Eco-lodge,9.54,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,47.628,0.6,6.342,1.376,Open Landfill,4.815,1,0.35,1.041,4.676,0.0,0.0,0.0,64.852
2111,2025-03-14,10,1.0,Tourist Coach,,Electric,Private,22,0.8,1.0,Eco-lodge,6.33,dry,0.82,2.6,Electric Boiler,0.0,None,0,0.0,Import-Heavy,68.04,0.3,4.53,2.804,Composting,1.402,1,0.5,0.003,76.493,69.68,0.0,0.0,220.647
2112,2025-09-08,7,1.0,Hybrid Car,,Electric,,2,1.27,1.35,Guesthouse,5.93,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Mixed,27.678,1.0,10.57,0.897,Open Landfill,3.141,0,0.0,0.026,34.032,0.0,0.0,0.0,75.447
2113,2025-11-18,5,179.3,Hybrid Car,,Electric,,2,1.05,1.0,Guesthouse,5.88,wet,0.07,0.0,Solar Thermal,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Import-Heavy,34.02,0.6,4.53,1.557,Open Landfill,3.893,0,0.0,3.518,2.058,0.0,397.821,0.0,445.84
2114,2025-07-09,3,170.1,Public Bus,,Electric,Public,42,1.33,1.15,5-star,106.43,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,8.442,1.5,6.795,0.2,Open Landfill,0.3,0,0.0,0.108,22.98,0.0,0.0,0.0,38.625
2115,2025-08-08,7,125.2,Hybrid Car,,Electric,,1,0.8,1.0,4-star,46.91,dry,0.82,5.57,Diesel Boiler,0.0,Small Local Festival,0,0.0,Mixed,27.678,0.6,6.342,1.416,Incineration,1.982,4,1.4,5.708,269.28,132.633,81.349,0.0,526.372
2116,2025-11-06,8,13.1,Private Car,,Electric,,3,0.96,1.0,Budget Hotel,10.36,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,22.512,1.0,12.08,1.801,Incineration,2.882,2,0.8,0.802,87.637,0.0,0.0,0.0,126.714
2117,2025-06-21,3,170.6,Hybrid Car,,Electric,,1,1.14,1.0,3-star,19.46,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,8.442,0.6,2.718,2.0,Sanitary Landfill,3.0,1,0.15,8.39,55.262,0.0,0.0,0.0,77.962
2118,2025-08-03,7,107.0,Private Car,,Diesel,,3,1.31,1.0,3-star,18.49,wet,0.07,0.37,Electric Boiler,0.0,None,0,0.0,Import-Heavy,47.628,0.6,6.342,1.826,Open Landfill,6.391,0,0.0,7.469,10.53,6.941,0.0,0.0,85.3
2119,2025-06-02,9,119.3,Public Bus,,Diesel,Public,11,0.96,1.0,Budget Hotel,11.0,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,1.322,Open Landfill,5.947,0,0.0,0.208,8.822,0.0,0.0,0.0,48.458
2120,2025-01-18,5,106.8,Tuk-Tuk,4-stroke,Electric,,2,0.8,1.0,4-star,50.01,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,34.02,0.6,4.53,1.621,Open Landfill,4.052,3,0.75,2.563,17.505,0.0,0.0,0.0,63.421
2121,2025-08-05,7,1.0,Tourist Coach,,Diesel,Private,17,0.91,1.0,Budget Hotel,10.07,wet,0.07,0.27,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.5,15.855,0.255,Composting,0.089,0,0.0,0.004,6.407,5.065,0.0,0.0,47.118
2122,2025-01-19,7,8.1,Hybrid Car,,Diesel,,4,0.9,1.0,Eco-lodge,9.24,dry,0.82,0.26,Electric Boiler,0.0,Pilgrimage (Pada Yatra),85,72.31,Import-Heavy,47.628,1.0,10.57,1.462,Composting,0.512,1,0.35,0.089,70.272,4.878,0.0,193.791,328.089
2123,2025-02-09,2,49.4,Private Car,,Petrol,,3,0.83,1.15,3-star,19.02,wet,0.07,5.97,Electric Boiler,0.0,None,0,0.0,Mixed,7.908,1.0,3.02,0.2,Composting,0.02,1,0.1,2.451,3.083,31.999,0.0,0.0,48.581
2124,2025-02-09,8,118.6,Tuk-Tuk,4-stroke,Diesel,,3,0.8,1.15,Guesthouse,6.39,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,22.512,1.0,12.08,1.579,Open Landfill,6.317,1,0.4,1.898,5.261,0.0,0.0,0.0,48.468
2125,2025-10-26,7,1.0,Hybrid Car,,Diesel,,1,1.0,1.0,3-star,21.79,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,47.628,0.6,6.342,0.746,Sanitary Landfill,2.61,0,0.0,0.062,12.149,0.0,0.0,0.0,68.79
2126,2025-09-27,6,69.5,Hybrid Car,,Electric,,2,0.85,1.0,Guesthouse,5.77,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,0.966,Open Landfill,2.898,1,0.3,1.511,43.146,0.0,0.0,0.0,70.175
2127,2025-01-09,4,69.4,Public Bus,,Petrol,Public,27,1.42,1.0,4-star,45.56,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,27.216,0.6,3.624,1.489,Incineration,1.191,1,0.2,0.073,149.448,0.0,0.0,0.0,181.752
2128,2025-07-12,8,127.6,Hybrid Car,,Electric,,2,0.8,1.0,4-star,41.96,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,22.512,1.0,12.08,1.924,Sanitary Landfill,7.697,0,0.0,2.569,23.495,0.0,0.0,0.0,68.353
2129,2025-06-04,5,120.5,Tuk-Tuk,4-stroke,Diesel,,1,0.8,1.35,Budget Hotel,9.34,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,1.355,Sanitary Landfill,3.389,0,0.0,5.784,50.576,0.0,0.0,0.0,78.349
2130,2025-09-04,3,19.4,Train,,Electric,,20,1.54,1.0,Budget Hotel,9.41,dry,0.82,0.0,Solar Thermal,0.0,Small Local Festival,0,0.0,Mixed,11.862,0.6,2.718,1.978,Composting,0.297,0,0.0,0.045,23.137,0.0,128.828,0.0,166.886
2131,2025-02-18,8,166.8,Public Bus,,Diesel,Public,15,0.86,1.0,3-star,22.14,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,31.632,1.0,12.08,1.792,Sanitary Landfill,7.17,2,0.8,0.191,164.938,0.0,0.0,0.0,216.812
2132,2025-06-12,6,10.2,Private Car,,LPG,,4,0.95,1.0,Guesthouse,5.8,dry,0.82,1.5,Electric Boiler,0.0,None,0,0.0,Local,16.884,1.0,9.06,2.006,Open Landfill,6.017,1,0.3,0.356,43.294,24.12,0.0,0.0,100.032
2133,2025-06-25,9,145.5,Electric Car,,Electric,,1,1.0,1.0,Budget Hotel,11.5,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,61.236,0.6,8.154,0.802,Composting,0.361,1,0.45,241.103,107.007,0.0,0.0,0.0,418.311
2134,2025-07-12,8,47.0,Train,,Electric,,99,1.23,1.0,Guesthouse,5.27,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Local,22.512,0.6,7.248,2.416,Incineration,3.866,3,1.2,0.018,34.602,32.16,0.0,0.0,101.606
2135,2025-10-08,6,89.8,Hybrid Car,,Petrol,,1,1.38,1.0,Budget Hotel,8.35,dry,0.82,4.07,Solar Thermal,0.0,Small Local Festival,0,0.0,Local,16.884,0.6,5.436,2.337,Composting,0.701,1,0.3,5.731,41.083,65.446,97.704,0.0,233.286
2136,2025-11-07,5,93.6,Train,,Electric,,117,1.18,1.15,Guesthouse,5.97,wet,0.07,0.07,Electric Boiler,0.0,None,0,0.0,Mixed,19.77,0.6,4.53,0.994,Open Landfill,2.484,1,0.25,0.028,3.14,0.938,0.0,0.0,31.141
2137,2025-10-28,4,91.9,Pilgrimage Support Truck,,LPG,,10,0.99,1.15,Eco-lodge,7.2,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,15.816,1.5,9.06,1.828,Composting,0.366,2,0.4,21.424,2.856,0.0,0.0,0.0,49.922
2138,2025-05-08,10,120.5,Tourist Coach,,Petrol,Private,10,1.17,1.0,Guesthouse,5.72,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,28.14,1.0,15.1,1.646,Open Landfill,8.229,0,0.0,0.987,4.007,0.0,0.0,0.0,56.464
2139,2025-02-21,5,103.5,Tuk-Tuk,4-stroke,Diesel,,1,0.94,1.0,Guesthouse,5.18,wet,0.07,8.99,Solar Thermal,0.0,None,0,0.0,Local,14.07,0.6,4.53,2.33,Sanitary Landfill,5.824,0,0.0,5.837,1.814,120.466,0.0,0.0,152.541
2140,2025-08-10,9,127.0,Train,,Electric,,98,0.8,1.0,Eco-lodge,7.3,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,1.034,Composting,0.465,1,0.45,0.031,75.991,0.0,0.0,0.0,110.417
2141,2025-11-03,5,107.9,Private Car,,Diesel,,1,1.16,1.0,Eco-lodge,8.26,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,0.949,Composting,0.237,1,0.25,20.609,2.891,20.1,0.0,0.0,62.688
2142,2025-07-15,3,4.1,Private Car,,LPG,,1,0.8,1.35,Budget Hotel,10.6,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,8.442,0.3,1.359,0.623,Composting,0.093,0,0.0,0.45,2.856,0.0,0.0,0.0,13.2
2143,2025-03-10,3,96.2,Pilgrimage Support Truck,,Electric,,20,1.55,1.0,Guesthouse,7.12,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,8.442,0.3,1.359,0.36,Composting,0.054,1,0.15,12.977,2.126,0.0,0.0,0.0,25.108
2144,2025-11-23,6,46.2,Train,,Electric,,35,1.04,1.0,3-star,21.26,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Local,16.884,1.0,9.06,1.511,Open Landfill,4.534,1,0.3,0.041,8.931,24.12,0.0,0.0,63.871
2145,2025-01-02,9,13.4,Hybrid Car,,Electric,,3,0.8,1.15,3-star,18.71,wet,0.07,23.83,Electric Boiler,0.0,None,0,0.0,Local,25.326,1.0,13.59,1.698,Composting,0.764,2,0.9,0.193,13.679,574.78,0.0,0.0,629.232
2146,2025-04-14,6,62.6,Tuk-Tuk,2-stroke,LPG,,2,1.03,1.0,4-star,55.5,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,0.2,Open Landfill,0.6,2,0.6,3.869,287.827,0.0,0.0,0.0,315.215
2147,2025-08-26,7,91.0,Private Car,,Petrol,,1,0.8,1.0,4-star,35.25,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,47.628,0.6,6.342,1.367,Open Landfill,4.784,0,0.0,10.332,18.744,0.0,0.0,0.0,87.829
2148,2025-11-25,4,95.0,Safari Jeep,,LPG,,6,1.16,1.0,Budget Hotel,10.33,wet,0.07,4.81,Electric Boiler,5.48,None,0,0.0,Import-Heavy,27.216,0.6,3.624,1.208,Incineration,0.967,1,0.2,1.644,3.734,51.563,0.0,0.0,88.947
2149,2025-09-02,6,143.4,Tuk-Tuk,2-stroke,Electric,,1,0.99,1.15,Budget Hotel,9.78,wet,0.07,8.69,Electric Boiler,0.0,Small Local Festival,0,0.0,Local,16.884,0.6,5.436,1.041,Open Landfill,3.124,2,0.6,17.036,5.369,139.735,57.684,0.0,245.869
2150,2025-07-20,9,158.4,Private Car,,Electric,,2,1.36,1.0,4-star,53.19,wet,0.07,0.0,Solar Thermal,0.0,Small Local Festival,0,0.0,Import-Heavy,61.236,1.5,20.385,1.824,Composting,0.821,1,0.45,18.215,33.509,0.0,62.113,0.0,196.729
2151,2025-09-18,5,100.2,Pilgrimage Support Truck,,Diesel,,7,1.01,1.15,Guesthouse,6.49,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,2.103,Sanitary Landfill,5.258,0,0.0,43.009,38.908,0.0,0.0,0.0,105.776
2152,2025-03-07,6,111.0,Safari Jeep,,Electric,,5,0.97,1.0,Budget Hotel,9.14,dry,0.82,0.0,Electric Boiler,2.0,Small Local Festival,0,0.0,Local,16.884,0.6,5.436,0.463,Incineration,0.556,1,0.3,0.72,59.704,0.0,74.82,0.0,158.42
2153,2025-09-04,2,85.7,Train,,Electric,,37,1.34,1.35,5-star,111.94,wet,0.07,1.45,Solar Thermal,0.0,None,0,0.0,Local,5.628,0.6,1.812,1.061,Incineration,0.424,0,0.0,0.093,15.672,7.772,0.0,0.0,31.401
2154,2025-05-12,6,126.0,Train,,Electric,,55,0.8,1.15,4-star,57.9,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.0,0.0,1.213,Open Landfill,3.64,0,0.0,0.055,25.579,0.0,0.0,0.0,46.158
2155,2025-03-04,7,109.2,Train,,Electric,,86,1.14,1.0,4-star,44.89,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,47.628,0.6,6.342,0.647,Open Landfill,2.263,1,0.35,0.043,274.864,0.0,0.0,0.0,331.49
2156,2025-10-16,4,76.7,Private Car,,Petrol,,4,1.15,1.0,Budget Hotel,9.62,wet,0.07,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Mixed,15.816,0.6,3.624,2.473,Open Landfill,4.946,2,0.4,3.849,3.534,0.0,21.698,0.0,53.867
2157,2025-07-31,7,209.1,Hybrid Car,,LPG,,1,0.8,1.0,5-star,108.39,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.0,10.57,1.048,Sanitary Landfill,3.669,1,0.35,8.001,54.58,0.0,0.0,0.0,96.868
2158,2025-03-23,6,47.2,Train,,Electric,,62,0.98,1.35,Budget Hotel,8.89,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Mixed,23.724,0.6,5.436,1.481,Open Landfill,4.444,1,0.3,0.022,43.753,0.0,0.0,0.0,77.679
2159,2025-09-21,6,167.3,Electric Car,,Electric,,1,1.08,1.0,3-star,19.48,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.0,0.0,0.536,Incineration,0.643,1,0.3,28.542,9.442,0.0,0.0,0.0,55.811
2160,2025-04-23,7,1.0,Hybrid Car,,Diesel,,2,0.9,1.0,5-star,110.99,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,27.678,0.6,6.342,2.219,Composting,0.777,3,1.05,0.017,55.853,0.0,0.0,0.0,91.716
2161,2025-06-26,7,128.8,Hybrid Car,,Diesel,,2,1.38,1.0,3-star,19.88,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,47.628,0.3,3.171,1.12,Sanitary Landfill,3.919,4,1.4,4.164,114.089,0.0,0.0,0.0,174.371
2162,2025-11-22,8,166.2,Public Bus,,Diesel,Public,20,1.25,1.0,Eco-lodge,5.84,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,22.512,1.5,18.12,1.761,Open Landfill,7.044,2,0.8,0.208,58.002,0.0,0.0,0.0,106.686
2163,2025-06-21,7,1.0,Private Car,,Electric,,2,1.12,1.0,Eco-lodge,6.65,wet,0.07,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Import-Heavy,47.628,1.0,10.57,0.951,Composting,0.333,1,0.35,0.076,4.726,0.0,75.957,0.0,139.64
2164,2025-01-05,6,88.3,Private Car,,Electric,,1,0.8,1.0,Budget Hotel,10.13,dry,0.82,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Local,16.884,0.6,5.436,0.913,Composting,0.274,3,0.9,9.768,64.588,0.0,48.42,0.0,146.269
2165,2025-06-17,7,122.9,Safari Jeep,,Petrol,,6,0.8,1.0,Eco-lodge,7.0,wet,0.07,0.0,Solar Thermal,4.39,Small Local Festival,0,0.0,Local,19.698,0.6,6.342,1.05,Open Landfill,3.676,3,1.05,1.317,3.431,0.0,125.218,0.0,160.732
2166,2025-09-03,7,95.1,Public Bus,,LPG,Public,21,0.8,1.0,Eco-lodge,7.37,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.0,10.57,1.656,Composting,0.58,3,1.05,0.072,5.082,0.0,0.0,0.0,37.052
2167,2025-01-05,6,102.7,Hybrid Car,,Petrol,,2,0.8,1.0,3-star,15.15,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,40.824,0.6,5.436,1.507,Open Landfill,4.52,0,0.0,2.177,6.364,0.0,0.0,0.0,59.321
2168,2025-07-24,11,88.2,Tourist Coach,,LPG,Private,14,0.99,1.35,3-star,24.99,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Local,30.954,1.0,16.61,0.242,Sanitary Landfill,1.329,0,0.0,0.437,19.24,44.22,0.0,0.0,112.789
2169,2025-08-12,5,14.3,Pilgrimage Support Truck,,Electric,,4,1.09,1.15,Eco-lodge,7.08,wet,0.07,10.2,Diesel Boiler,0.0,None,0,0.0,Local,14.07,1.0,7.55,0.721,Open Landfill,1.802,1,0.25,10.386,2.48,156.78,0.0,0.0,193.317
2170,2025-06-03,9,222.1,Hybrid Car,,Diesel,,4,0.8,1.0,5-star,105.15,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,0.667,Incineration,1.2,0,0.0,1.853,68.137,0.0,0.0,0.0,104.67
2171,2025-09-14,7,49.8,Public Bus,,Petrol,Public,16,0.8,1.0,4-star,40.8,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Import-Heavy,47.628,1.0,10.57,2.229,Open Landfill,7.802,3,1.05,0.05,19.992,28.14,0.0,0.0,115.232
